Designation,Name,Location,Total_applicants,LinkedIn_Followers,Level,Involvement,Employee_count,Industry,technical_skills,PYTHON,C++,JAVA,HADOOP,SCALA,FLASK,PANDAS,SPARK,NUMPY,PHP,SQL,MYSQL,CSS,MONGODB,NLTK,TENSORFLOW,LINUX,RUBY,JAVASCRIPT,DJANGO,REACT,REACTJS,AI,UI,TABLEAU,NODEJS,EXCEL,POWER BI,SELENIUM,HTML,ML
Python Software Engineer,Uplers, Gujarat,44,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1
Dotnet Developer- WFH,Uplers, Telangana,28,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Dotnet Developer- WFH,Uplers, Tamil Nadu,27,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Python Web Developer,Uplers, India,36,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1
Full Stack Software Engineer,Uplers, Rajasthan,18,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
Software Engineer - Senior,Uplers, Haryana,4,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0
Python Web Developer,Uplers, Telangana,75,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1
Back End Developer,Uplers, West Bengal,53,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Python Tech Lead,Uplers, Maharashtra,7,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1
Web Developer - Python,Uplers, Tamil Nadu,66,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1
Web Developer - Python,Uplers, Haryana,24,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1
Sr. Software Engineer,Uplers, Haryana,5,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0
Web Developer - Python,Uplers, Karnataka,112,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1
Python Software Engineer,Uplers, Tamil Nadu,35,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1
